policy,budget,outcome,no_email_rate,mens_rate,womens_rate,contact_rate,budget_feasible,incremental_value,ci_low,ci_high
random,0.2,spend,0.8,0.0990625,0.1009375,0.2,True,-0.049279687500000016,-0.35261033203125,0.20951496093749997
random,0.25,visit,0.75,0.1253125,0.1246875,0.25,True,0.009140625,0.001171875,0.017824218749999995
random,0.25,conversion,0.75,0.1253125,0.1246875,0.25,True,0.000703125,-0.00141796875,0.001875
random,0.25,spend,0.75,0.1253125,0.1246875,0.25,True,0.1060359375,-0.11554787109375,0.30797009765625
random,0.3,visit,0.7,0.14921875,0.15078125,0.3,True,0.0178125,0.01147265625,0.02616210937499999
random,0.3,conversion,0.7,0.14921875,0.15078125,0.3,True,0.00140625,-0.000234375,0.003046875
random,0.3,spend,0.7,0.14921875,0.15078125,0.3,True,0.15556875,-0.1029690234375,0.5066005078125
random,0.35,visit,0.65,0.173828125,0.176171875,0.35,True,0.020625,0.012029296875,0.03046289062499996
random,0.35,conversion,0.65,0.173828125,0.176171875,0.35,True,0.00140625,-0.00012304687499999997,0.003515625
random,0.35,spend,0.65,0.173828125,0.176171875,0.35,True,0.2757,-0.10532326171874999,0.7749851367187496
random,0.4,visit,0.6,0.20046875,0.19953125,0.4,True,0.022734375,0.012017578125,0.0309375
random,0.4,conversion,0.6,0.20046875,0.19953125,0.4,True,0.0009375,-0.00140625,0.002935546874999998
random,0.4,spend,0.6,0.20046875,0.19953125,0.4,True,0.11942109375000001,-0.33445863281250005,0.5381458593749999
random,0.45,visit,0.55,0.22703125,0.22296875,0.45,True,0.027421875,0.01640625,0.037623046874999996
random,0.45,conversion,0.55,0.22703125,0.22296875,0.45,True,0.00140625,-0.000703125,0.003638671874999998
random,0.45,spend,0.55,0.22703125,0.22296875,0.45,True,0.30254531250000005,-0.11751017578124993,0.7992382617187492
random,0.5,visit,0.5,0.252109375,0.247890625,0.5,True,0.026484375,0.017220703125,0.03838476562499998
random,0.5,conversion,0.5,0.252109375,0.247890625,0.5,True,0.0028125,0.00046875,0.0057480468749999975
random,0.5,spend,0.5,0.252109375,0.247890625,0.5,True,0.3374929687499999,0.017603906249999978,0.7314403710937495
random,0.55,visit,0.45,0.2803125,0.2696875,0.55,True,0.0365625,0.027744140625,0.046640625
random,0.55,conversion,0.45,0.2803125,0.2696875,0.55,True,0.002109375,-0.00012304687499999997,0.004453125
random,0.55,spend,0.45,0.2803125,0.2696875,0.55,True,0.14957343750000002,-0.37696441406250003,0.7536343359374996
random,0.6,visit,0.4,0.296171875,0.303828125,0.6,True,0.034453125,0.02600390625,0.04807031249999999
random,0.6,conversion,0.4,0.296171875,0.303828125,0.6,True,0.00421875,0.001517578125,0.006919921874999998
random,0.6,spend,0.4,0.296171875,0.303828125,0.6,True,0.16779609374999999,-0.2561122265625,0.5734412109374999
random,0.65,visit,0.35,0.32203125,0.32796875,0.65,True,0.04875,0.03609375,0.061330078124999986
random,0.65,conversion,0.35,0.32203125,0.32796875,0.65,True,0.006328125,0.003861328125,0.009498046874999997
random,0.65,spend,0.35,0.32203125,0.32796875,0.65,True,0.6754078125,0.267862265625,1.1335964648437498
random,0.7,visit,0.3,0.35125,0.34875,0.7,True,0.03796875,0.02811328125,0.048873046875
random,0.7,conversion,0.3,0.35125,0.34875,0.7,True,0.001640625,-0.000591796875,0.003996093749999996
random,0.7,spend,0.3,0.35125,0.34875,0.7,True,0.1075359375,-0.36017496093750007,0.5470907226562495
random,0.75,visit,0.25,0.3690625,0.3809375,0.75,True,0.04875,0.034037109375,0.061875
random,0.75,conversion,0.25,0.3690625,0.3809375,0.75,True,0.003984375,0.001048828125,0.006216796874999998
random,0.75,spend,0.25,0.3690625,0.3809375,0.75,True,0.36677109375,-0.22545574218750003,0.9044021484374999
random,0.8,visit,0.2,0.39859375,0.40140625,0.8,True,0.04546875,0.031951171875,0.05930859374999999
random,0.8,conversion,0.2,0.39859375,0.40140625,0.8,True,0.003984375,0.001283203125,0.006808593749999996
random,0.8,spend,0.2,0.39859375,0.40140625,0.8,True,0.64352109375,0.10645283203125,1.39847912109375
random,0.85,visit,0.15,0.42484375,0.42515625,0.85,True,0.049453125,0.037330078125,0.061875
random,0.85,conversion,0.15,0.42484375,0.42515625,0.85,True,0.004921875,0.001048828125,0.008560546874999998
random,0.85,spend,0.15,0.42484375,0.42515625,0.85,True,0.5269546875000001,0.024379160156250013,1.0882062890625
