policy,budget,budget_feasible,contact_rate,incremental_spend_per_customer,gross_margin,email_cost,incremental_revenue,gross_profit,campaign_cost,net_profit,roi,value_per_1000,break_even_cost
propensity,0.25,True,0.25,0.14822695312500003,0.5,0.02,1897.3050000000005,948.6525000000003,64.0,884.6525000000003,13.822695312500004,69.11347656250003,0.29645390625000007
propensity,0.25,True,0.25,0.14822695312500003,0.5,0.05,1897.3050000000005,948.6525000000003,160.0,788.6525000000003,4.929078125000002,61.61347656250002,0.29645390625000007
propensity,0.25,True,0.25,0.14822695312500003,0.5,0.1,1897.3050000000005,948.6525000000003,320.0,628.6525000000003,1.9645390625000008,49.11347656250002,0.29645390625000007
propensity,0.25,True,0.25,0.14822695312500003,0.7,0.02,1897.3050000000005,1328.1135000000004,64.0,1264.1135000000004,19.751773437500006,98.75886718750003,0.4150354687500001
propensity,0.25,True,0.25,0.14822695312500003,0.7,0.05,1897.3050000000005,1328.1135000000004,160.0,1168.1135000000004,7.300709375000002,91.25886718750003,0.4150354687500001
propensity,0.25,True,0.25,0.14822695312500003,0.7,0.1,1897.3050000000005,1328.1135000000004,320.0,1008.1135000000004,3.150354687500001,78.75886718750003,0.4150354687500001
propensity,0.3,True,0.3,0.24027539062500008,0.3,0.02,3075.525000000001,922.6575000000003,76.8,845.8575000000003,11.013769531250004,66.08261718750002,0.24027539062500006
propensity,0.3,True,0.3,0.24027539062500008,0.3,0.05,3075.525000000001,922.6575000000003,192.0,730.6575000000003,3.8055078125000015,57.08261718750002,0.24027539062500006
propensity,0.3,True,0.3,0.24027539062500008,0.3,0.1,3075.525000000001,922.6575000000003,384.0,538.6575000000003,1.4027539062500007,42.08261718750002,0.24027539062500006
propensity,0.3,True,0.3,0.24027539062500008,0.5,0.02,3075.525000000001,1537.7625000000005,76.8,1460.9625000000005,19.022949218750007,114.13769531250004,0.40045898437500016
propensity,0.3,True,0.3,0.24027539062500008,0.5,0.05,3075.525000000001,1537.7625000000005,192.0,1345.7625000000005,7.009179687500002,105.13769531250004,0.40045898437500016
propensity,0.3,True,0.3,0.24027539062500008,0.5,0.1,3075.525000000001,1537.7625000000005,384.0,1153.7625000000005,3.004589843750001,90.13769531250004,0.40045898437500016
propensity,0.3,True,0.3,0.24027539062500008,0.7,0.02,3075.525000000001,2152.8675000000007,76.8,2076.0675000000006,27.03212890625001,162.19277343750005,0.5606425781250002
propensity,0.3,True,0.3,0.24027539062500008,0.7,0.05,3075.525000000001,2152.8675000000007,192.0,1960.8675000000007,10.212851562500004,153.19277343750008,0.5606425781250002
