policy,budget,outcome,contact_rate,contacts,budget_feasible,incremental_value,ci_low,ci_high,delta_vs_propensity,delta_ci_low,delta_ci_high
x_tree,0.85,visit,0.85,10880,True,0.0533203125,0.042533203125000016,0.06539062500000002,-0.0010546875000000053,-0.007034179687500003,0.004933593749999994
x_tree,0.85,spend,0.85,10880,True,0.5651824218750001,0.09764642578125014,0.9640182714843751,0.08783320312500009,-0.13808906249999958,0.3191878124999999
x_tree,0.9,visit,0.9,11520,True,0.05484375000000001,0.044024414062500024,0.06621386718750001,-0.0009375000000000008,-0.006568359375000006,0.005279296875
x_tree,0.9,spend,0.9,11520,True,0.6087246093750003,0.17356567382812507,1.04541984375,0.10681757812500015,-0.10050541992187495,0.3725427539062503
x_tree,0.95,visit,0.95,12160,True,0.05660156250000001,0.044141601562500014,0.06856054687500003,-0.0014062499999999978,-0.005156250000000001,0.0023466796874999788
x_tree,0.95,spend,0.95,12160,True,0.7088062500000002,0.26894009765625015,1.2095394726562505,0.13776796874999997,0.005569042968750032,0.30025576171874985
x_tree,1.0,visit,1.0,12800,True,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.0,0.0,0.0
x_tree,1.0,spend,1.0,12800,True,0.6710414062500001,0.20026045898437533,1.234722099609375,0.0,0.0,0.0
random,0.05,visit,0.05,640,True,0.0041015625,0.0018720703125000011,0.00703125,0.0009374999999999991,-0.0031669921875000008,0.005282226562500001
random,0.05,spend,0.05,640,True,0.0953953125,0.005370703125,0.23415820312500002,0.03987187499999998,-0.10112027343749999,0.201067236328125
random,0.1,visit,0.1,1280,True,0.006796875000000001,0.0030410156250000025,0.011607421875000004,-0.0025781250000000006,-0.008677734375,0.004576171874999999
random,0.1,spend,0.1,1280,True,0.19534921875000003,0.04253686523437502,0.38342601562499995,0.149621484375,-0.06977871093749999,0.3693592675781251
random,0.15,visit,0.15,1920,True,0.0113671875,0.006424804687500005,0.016892578125000005,-0.003515625000000003,-0.010790039062500003,0.004227539062500002
random,0.15,spend,0.15,1920,True,0.206448046875,0.046229560546875,0.394686123046875,0.140087109375,-0.07257969726562502,0.34786529296874996
random,0.2,visit,0.2,2560,True,0.013945312500000003,0.008425781250000004,0.020159179687500004,-0.006210937499999998,-0.014065429687500004,0.002707031249999997
random,0.2,spend,0.2,2560,True,0.22654101562500004,0.026142128906250013,0.458177255859375,0.150280078125,-0.18817933593750003,0.46042573242187496
random,0.25,visit,0.25,3200,True,0.0167578125,0.009843750000000009,0.023794921875000003,-0.00421875,-0.012905273437500005,0.005868164062499999
random,0.25,spend,0.25,3200,True,0.19923046875000006,0.002646591796875042,0.42305745117187504,0.05100351562500002,-0.27622576171874996,0.38173986328125015
random,0.3,visit,0.3,3840,True,0.0198046875,0.013007812500000009,0.02695898437500001,-0.006445312500000005,-0.015588867187500001,0.004690429687499991
random,0.3,spend,0.3,3840,True,0.267994921875,0.031169179687500038,0.5473584082031252,0.02771953124999993,-0.3086576953124999,0.42699606445312516
random,0.35,visit,0.35,4480,True,0.021796875,0.014988281250000018,0.029551757812500013,-0.008437500000000007,-0.017109375,0.0028154296874999996
random,0.35,spend,0.35,4480,True,0.37318242187500006,0.13225315429687504,0.714427177734375,0.09365976562499995,-0.24272411132812508,0.4698115722656254
